状态	分组	本地文件名	来源项目	来源版本	原始路径	处理方式
已支持	04_PowerPoint现代演示文稿	PowerPoint加密演示文稿.pptx	delivr_to_file_samples	bbe8f8001b09733b436f133cfe7ad130849056c5	samples/test_encrypted_pptx.pptx	原始下载
已支持	05_Word旧版文档	Word旧版嵌入PDF文档.doc	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testWORD_embedded_pdf.doc	原始下载
已支持	05_Word旧版文档	Word旧版模板.dot	Apache_POI	trunk	test-data/document/SampleDoc.doc	原始下载；Word 97模板正例
已支持	06_Excel旧版工作簿	Excel旧版嵌入对象工作簿.xls	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testEXCEL_embeded.xls	原始下载
已支持	06_Excel旧版工作簿	Excel旧版普通工作簿.xls	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testEXCEL.xls	原始下载
已支持	06_Excel旧版工作簿	Excel旧版模板.xlt	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testEXCEL_template.xlt	原始下载
已支持	07_PowerPoint旧版演示文稿	PowerPoint旧版综合元素.ppt	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testPPT_various.ppt	原始下载
已支持	07_PowerPoint旧版演示文稿	PowerPoint旧版放映文件.pps	Apache_POI	trunk	test-data/slideshow/SampleShow.ppt	原始下载；PowerPoint放映文件正例
已支持	07_PowerPoint旧版演示文稿	PowerPoint旧版模板.pot	Apache_POI	trunk	test-data/slideshow/Single_Coloured_Page.ppt	原始下载；PowerPoint模板正例
已支持	08_Apple_Keynote	Keynote现代IWA演示文稿.key	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testKeynote2013.key	原始下载
已支持	01_PDF文档/字段代表样本	PDF表单与注释样本.pdf	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_acroform3.pdf	原始下载；表单、注释、外链正例
已支持	01_PDF文档/字段代表样本	PDF附件外链与JavaScript样本.pdf	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDFPackage.pdf	原始下载；附件、外链、JavaScript正例
已支持	02_Word现代文档/字段代表样本	Word超链接与数字签名文档.docx	Apache_POI	3e24e7d6f4151b993232ee67faae650ade533712	test-data/xmldsign/hyperlink-example-signed.docx	原始下载；数字签名、外部超链接正例
已支持	03_Excel现代工作簿/字段代表样本	Excel数字签名工作簿.xlsx	Apache_POI	3e24e7d6f4151b993232ee67faae650ade533712	test-data/xmldsign/hello-world-signed.xlsx	原始下载；数字签名正例
已支持	04_PowerPoint现代演示文稿/字段代表样本	PowerPoint数字签名演示文稿.pptx	Apache_POI	3e24e7d6f4151b993232ee67faae650ade533712	test-data/xmldsign/hello-world-signed.pptx	原始下载；数字签名正例
已支持	08_Apple_Keynote/业务代表样本_公开来源	Keynote现代Build漏报样本.key	cupertino_files	bb6c7e39245ac45a36b12362fbd35680e9be722d	fixtures/olekristensen-v26.3-mac-builds-effects.key	原始下载；Keynote 26.3真实Build正例，DeckProbe 2.5.0返回0
已支持	08_Apple_Keynote/业务代表样本_公开来源	Keynote表格与图片演示文稿.key	cupertino_files	bb6c7e39245ac45a36b12362fbd35680e9be722d	fixtures/zenodo-v13.1-tables-images.key	原始下载；表格、图片、16:9正例
已支持	09_Apple_Numbers/业务代表样本_公开来源	Numbers过滤规则漏报样本.numbers	cupertino_files	bb6c7e39245ac45a36b12362fbd35680e9be722d	fixtures/olekristensen-v26.3-mac-filters.numbers	原始下载；两条已启用过滤规则，DeckProbe 2.5.0返回过滤行0
已支持	09_Apple_Numbers/业务代表样本_公开来源	Numbers公式与批注工作簿.numbers	cupertino_files	bb6c7e39245ac45a36b12362fbd35680e9be722d	fixtures/olekristensen-v26.3-demo06-formulas-round8.numbers	原始下载；公式定义10、批注存储体3
已支持	09_Apple_Numbers/业务代表样本_公开来源	Numbers多工作表结构工作簿.numbers	cupertino_files	bb6c7e39245ac45a36b12362fbd35680e9be722d	fixtures/olekristensen-v26.3-demo08-structure-round6.numbers	原始下载；3工作表、3表格及尺寸正例
已支持	10_Apple_Pages/业务代表样本_公开来源	Pages多章节页眉页脚文档.pages	cupertino_files	bb6c7e39245ac45a36b12362fbd35680e9be722d	fixtures/threatconnect-v11.1-headers-footers-sections.pages	原始下载；3章节、页眉页脚、表格、图片正例；DeckProbe无页眉页脚字段
未支持	暂未支持格式	Keynote旧版XML演示文稿.key	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testKeynote.key	原始下载
未支持	暂未支持格式	Numbers旧版XML工作簿.numbers	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testNumbers.numbers	原始下载
未支持	暂未支持格式	Pages旧版XML文档.pages	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPages.pages	原始下载
未支持	暂未支持格式	OpenDocument文本宏文档.odt	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testODTMacro.odt	原始下载
未支持	暂未支持格式	OpenDocument表格宏文档.ods	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testODSMacro.ods	原始下载
未支持	暂未支持格式	OpenDocument演示宏文档.odp	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testODPMacro.odp	原始下载
未支持	暂未支持格式	RTF嵌入文件文档.rtf	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testRTFEmbeddedFiles.rtf	原始下载
未支持	暂未支持格式	CSV列式数据样本.csv	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-integration-tests/src/test/resources/test-documents/test-columnar.csv	原始下载
未支持	暂未支持格式	HTML嵌入图片页面.html	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-html-module/src/test/resources/test-documents/testHTML_embedded_img.html	原始下载
未支持	暂未支持格式	EPUB多元数据电子书.epub	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testEPUB_multi-metadata-vals.epub	原始下载
未支持	暂未支持格式	Visio绘图文档.vsdx	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testVISIO_60489.vsdx	原始下载
未支持	暂未支持格式	OneNote笔记文档.one	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testOneNote1.one	原始下载
未支持	暂未支持格式	PowerPoint主题文件.thmx	Apache_Tika	acab4a86262b6c5586ffe771fc607e50f77f0fbe	tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testPPT.thmx	原始下载
已支持	01_PDF文档/业务代表样本_HuggingFace	PDF_生物吸附剂论文_15页72注释.pdf	HuggingFace_OmegaUse_OfficeVal	8e19c575b5be64c8a2964a4e28aafb696490c2ae	task_files/officeval_008/reed_fiber_biosorbent.pdf	固定 revision 原始下载；15 页、72 注释
已支持	01_PDF文档/业务代表样本_HuggingFace	PDF_综合复习题_96页.pdf	HuggingFace_OmegaUse_OfficeVal	8e19c575b5be64c8a2964a4e28aafb696490c2ae	task_files/officeval_038/多岗位从业人员综合复习题_菟思学院.pdf	固定 revision 原始下载；96 页真实试题
已支持	02_Word现代文档/业务代表样本_HuggingFace	Word_家居零售价目册_66页308表115图.docx	HuggingFace_OmegaUse_OfficeVal	8e19c575b5be64c8a2964a4e28aafb696490c2ae	task_files/officeval_033/家居零售价目册.docx	固定 revision 原始下载；66 页、308 表、115 图
已支持	02_Word现代文档/业务代表样本_HuggingFace	Word_公共书房运营规划书_55页18图表部件.docx	HuggingFace_OmegaUse_OfficeVal	8e19c575b5be64c8a2964a4e28aafb696490c2ae	task_files/officeval_018/公共书房运营规划书.docx	固定 revision 原始下载；55 页、26 表、24 图、18 chart parts
已支持	02_Word现代文档/业务代表样本_HuggingFace	Word_职称评审表_22页多页眉页脚.docx	HuggingFace_OmegaUse_OfficeVal	8e19c575b5be64c8a2964a4e28aafb696490c2ae	task_files/officeval_028/职称评审表.docx	固定 revision 原始下载；多 section 页眉页脚
已支持	03_Excel现代工作簿/业务代表样本_HuggingFace	Excel_多子表汇总_61工作表178表格.xlsx	HuggingFace_OmegaUse_OfficeVal	8e19c575b5be64c8a2964a4e28aafb696490c2ae	task_files/officeval_090/子表数据提取到汇总表.xlsx	固定 revision 原始下载；61 sheet、178 table parts
已支持	03_Excel现代工作簿/业务代表样本_HuggingFace	Excel_SpreadsheetBench_8工作表6隐藏.xlsx	HuggingFace_SpreadsheetBench	ab0b742b0fc95b946f212d80ac7771b5531272e4	spreadsheetbench_verified_400/spreadsheet/18645/1_18645_init.xlsx	从 verified_400 固定归档提取；8 sheet、6 hidden sheets
已支持	04_PowerPoint现代演示文稿/业务代表样本_HuggingFace	PPT_Zenodo_用户画像工具包_49页80图.pptx	HuggingFace_Zenodo10K	e59bf3ec11f7518a6c84dc145d83c0675d412522	pptx/cc-by-4.0/2024/0208efa2c46887ccf13bcc64c20767d3-Base4NFDI_PersonaCreation_Kit.pptx	固定 revision 原始下载；路径明确标注 CC-BY-4.0
已支持	04_PowerPoint现代演示文稿/业务代表样本_HuggingFace	PPT_Zenodo_光伏财务可行性_6图表2表格.pptx	HuggingFace_Zenodo10K	e59bf3ec11f7518a6c84dc145d83c0675d412522	pptx/cc-by-4.0/2024/0255424aed4183a74da5a55d7f76ee61-EMP-A-2024 Presentation_ANALYSING THE FINANCIAL VIABILITY OF THE 50MW BANGWEULU SOLAR PLANT IN ZAMBIA USING FINPLAN.pptx	固定 revision 原始下载；8 slide、6 chart、2 table、5 embeddings
已支持	03_Excel现代工作簿/业务代表样本_HuggingFace	Excel_OCB_NBA全赛季_2图表3透视表12844公式.xlsx	HuggingFace_OfficeComprehensionBenchmark	0104ac2f88348ecf1148781b85fdb6a189b59671	reference_files/NBA_all_seasons_Improved.xlsx	固定 revision 原始下载；2 chart、3 pivot、12844 formula、1 comment、1 image
已支持	04_PowerPoint现代演示文稿/业务代表样本_HuggingFace	PPT_Zenodo_可穿戴PPG路线图_24音频48切换.pptx	HuggingFace_Zenodo10K	e59bf3ec11f7518a6c84dc145d83c0675d412522	pptx/cc-by-4.0/2023/3a2257b80b2e4ad6200958068f8927f7-Wearables - 2023 Wearable PPG Roadmap audio.pptx	固定 revision 原始下载；24 slide、24 audio、48 transition、24 timing、24 notes
已支持	04_PowerPoint现代演示文稿/业务代表样本_HuggingFace	PPT_Zenodo_哥斯达黎加交通模型_2隐藏页.pptx	HuggingFace_Zenodo10K	e59bf3ec11f7518a6c84dc145d83c0675d412522	pptx/cc-by-4.0/2022/a04e1e47377107b19e2dc7677deced26-Presentation Costa Rica Transport Sector EMPLAC 2022.pptx	固定 revision 原始下载；8 slide、2 hidden；DeckProbe 2.5.0 返回隐藏数0
已支持	04_PowerPoint现代演示文稿/业务代表样本_HuggingFace	PPT_Zenodo_统计学课程_64公式24切换.pptx	HuggingFace_Zenodo10K	e59bf3ec11f7518a6c84dc145d83c0675d412522	pptx/cc-by-4.0/2023/e4530cd2718cf9b7658d586ba4629918-PERTEMUAN 9_13 APRIL 2023.pptx	固定 revision 原始下载；16 slide、64 OMML、24 transition、15 notes
已支持	04_PowerPoint现代演示文稿/业务代表样本_HuggingFace	PPT_Zenodo_设计技术教育_批注与备注.pptx	HuggingFace_Zenodo10K	e59bf3ec11f7518a6c84dc145d83c0675d412522	pptx/cc-by-4.0/2020/7f7d68d6ffb33fe72b6c6ebc5187e4e3-Ch18 Transitions after secondary design and technology.pptx	固定 revision 原始下载；14 slide、1 comment part、5 notes
已支持	05_Word旧版文档	Word旧版宏文档.doc	Apache_POI	trunk	test-data/document/SimpleMacro.doc	原始下载；Word 97 VBA宏正例
已支持	06_Excel旧版工作簿	Excel旧版宏工作簿.xls	Apache_POI	trunk	test-data/spreadsheet/SimpleMacro.xls	原始下载；Excel 97 VBA宏正例
已支持	07_PowerPoint旧版演示文稿	PowerPoint旧版宏演示文稿.ppt	Apache_POI	trunk	test-data/slideshow/WithMacros.ppt	原始下载；PowerPoint 97 VBA宏正例
